Question,Answer,false_answer
What general name is given to a rotating star which emits a regular beat of radiation?,Beltex Optics; Yukon Optics,Pulsating Quasar
"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",Ruddigore; RUDDIGORE,The Enchanted Sorceress
Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,Jim Laker; James Laker,Geoffrey Boycott
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Farthing; Farthing (coin),A Kid for Two Farthings
Who is the patron saint of dancers?,Saint Vitus Day; Vitus (saint),St
"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",Karl Marx and Friedrich Engels,Friedrich Engels and Karl Kautsky
The fortified wine drink Sherry is named after what town?,"Jerez, Spain; Jérez de la Frontera",Sherrington
The nickname for Dumfries became the name of which Scottish football club?,Queen of the South FC; QOTSFC,Dumfries United
The revolutionary group the Sandinistas were active in which country?,Etymology of Nicaragua; República de Nicaragua,El Salvador
Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,Steve Norris; Stephen Norris,Michael Portillo
"""Who said, To err is human but it feels divine?""""""","Mae west; When I'm good, I'm very good...",Oscar Wilde
"When Mr Benn was looking for an adventure, what type of shop did he visit?",A fancy dress shop,A magic shop
What was made and repaired by a Wainwright?,Front axle assembly; Farm wagon,Wagons
"The War of the Triple Alliance (1864 - 1870) was fought between the allied countries of Argentina, Brazil, and Uruguay and which other country?",Paraguayan; Administrative divisions of Paraguay,Paraguay
What city will host the 2016 Olympics?,Rio Janeiro; Rio De Janiero,Rio de Janeiro
Mount Entoto is the highest peak overlooking which African capital city?,አዲስ አበባ; Addis Abeba,Addis Ababa
Which company produced the Hastings and Herald aircraft?,Handley-Page; Handley Page Limited,De Havilland
Buenos Aires is located on the estuary of which river?,River Plate (disambiguation); The River Plate (disambiguation),Rio de la Plata
What was the name of the Prime Minister of Egypt who was assassinated in 1910?,Boutros Ghali; Boutros Ghali Pasha,Mustafa Kamil Pasha
Cathay is a poetic name for which far eastern country?,Territorial disputes of China; Zhōnghuá Rénmín Gònghéguó,Siam
Which British monarch was the first Head of the Commonwealth?,George VI of Great Britain; Albert Frederick Arthur George,King George VI
In which American state is the Isabella Stewart Gardner Museum?,Massachusetts (state); Massachusettes,Massachusetts
"Under which British monarch was Warren Hastings appointed first Governor of the Presidency of Fort William (Bengal) and the head of the Supreme Council of Bengal, effectively the first Governor-General of India?",George III of Great Britain and Ireland; George the Third,King George III
"Which opera by Rossini , his last , is based on a play by Schiller ?",Moveable Feast (Will & Grace); Went To A Garden Potty,Wilhelm Tell
‘The Queen was in the parlour eating bread and honey’ in which nursery rhyme?,Sing a Song of Sixpence; Sing a song of sixpence,Sing a Song of Sixpence
Who is the father-in-law of Manchester City footballer Sergio Kűn Aguerro?,Diego Armando Maradona; Diego Marradona,Diego Maradona
What colour hair did Charles Dickens' character David Copperfield have?,R.E.D.; Red (film),Blonde
Elizabeth Taylor made a fortune from what business aside from acting?,Men's fragrance; Perfume bottles,Perfume
What is the name of the charity for single parents founded in the 1970s which currently has J K Rowling as its President?,Gingerbreads; Gingerbread cookie,Single Parents United
Who was the UK Poet Laureate or the longest period?,Lord Tennyson; Tennyson (poet),Alfred Tennyson
Giugno is Italian for which month of the year?,June 31; Juno (German),July
What character was played by Bill Fraser in 'The Army Game'?,Snudge,Sergeant Major Snudge
Who is the Greek God of War?,Ares (disambiguation); ARES,Ares
For which scientific discovery did Crick and Watson receive the 1962 Nobel Prize for Medicine?,DNA bubble; Mechanical properties of DNA,DNA replication
Nouakchott is the capital of which Islamic African republic?,King of Mauretania; Ancient mauretania,Mauritania
A creance is the name of the long fine cord used in which sport?,Hawking (falconry); Falconry,Falconry
Selenology is the scientific study of which celestial body?,🌛; Earth I,Venus
In June 2013 US Texas State Senator Wendy Davis filibustered for 10 hours to obstruct Texas state laws concerning?,Abortion and health; Termination of pregnancy,Gun control
Who first drew Mickey Mouse when ?Disney first supplied the voice?,Ubbe Ert Iwwerks; Ub Iwerks,Ub Iwerks
