Question,Answer,false_answer
when was the last time anyone was on the moon,14 December 1972 UTC; December 1972,1985
who wrote he ain't heavy he's my brother lyrics,Bobby Scott; Bob Russell,Paul McCartney
how many seasons of the bastard executioner are there,one; one season,4 seasons
when did the eagles win last super bowl,2017,2008
who won last year's ncaa women's basketball,South Carolina,Stanford University
when did the isle of wight become an island,During the last Ice Age,1850
love yourself by justin bieber is about who,Rihanna,Selena Gomez
who was the ruler of england in 1616,James I,Queen Elizabeth I
what is the hot coffee mod in san andreas,a normally inaccessible mini-game,A hidden coffee shop
what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,200 Mbps
which state is located in the centre of india,Chhattisgarh; Madhya Pradesh,Uttar Pradesh
who sang i ran all the way home,The Impalas,Frank Sinatra
where did the last name wallace come from,a Scottish surname,Ancient Rome
who was the actor that played ben stone on law and order,Michael Moriarty,Tom Hanks
who does the voice of nala in the lion king,Niketa Calame; Sally Dworsky; Moira Kelly; Laura Williams,Jennifer Aniston
who plays gram on the young and the restless,Max Shippee,Meryl Streep
what is the oath that new citizens take,United States Oath of Allegiance,The Freedom Pledge
who is under the mask of darth vader,Anakin Skywalker,Luke Skywalker
who had a baby at 100 in the bible,Sarah; Abraham,Noah
what age do you need to be to buy a bb gun,18,25
ethiopia flight 961 crashes in to the sea,23 November 1996,Pilot error
where was percy jackson and the olympians filmed,"Vancouver; Mission, British Columbia",New York City
how many seasons of vampire diaries r there,eight; 8,10 seasons
how many episodes are there in dragon ball z,291 episodes; 291,350 episodes
who plays auggie in the movie the wonder,Jacob Tremblay,Tom Holland
when was the first australian prime minister elected,Sir Edmund Barton; 1901,1905
who plays matthew on anne with an e,R. H. Thomson,Chris Hemsworth
who is the girl in green day 21 guns,Lisa Stelly,Emma Watson
who plays joker in batman the dark knight,Ledger,Johnny Depp
when was the south asian association for regional co-operation (saarc) formed,December 1985; 8 December 1985,1988
when was the first hunger games book published,"September 14, 2008; 2008",2005
who did bette midler portray in the rose,Mary Rose Foster,Janis Joplin
who is the lead singer of depeche mode,David Gahan,Bono
where did the butchers in the slaughterhouse cases live,New Orleans,New York City
who developed the concept of total quality management,W. Edwards Deming,Henry Ford
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis; Rob Davis; Cathy Dennis,Elton John
where does no game no life anime end,the Elkia Federation; the sixth volume,Season 3 finale
when did taylor swift's first album release,"October 24, 2006; 2005",2004
what are the three fifty shades of grey books,Fifty Shades of Grey; Fifty Shades Darker; Fifty Shades Freed,"Fifty Shades Darker, Fifty Shades Freed, Fifty Shades of Grey: Retold"
who has the power (judicial) to make decisions in courts of law,judges,The President
what are the ranks in the us navy,E-8s senior chief petty officer; E-9s master chief petty officer,"Cadet, Ensign, Lieutenant"
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,Al-Khwarizmi
who is the coach for the ottawa senators,Guy Boucher,Wayne Gretzky
last episode of what happens to my family,53,Episode 100
when is the last time the vikings were in the nfc championship,1976; 2017/18,2005
